,(58:r:74:47),(58:r:74:48),(58:r:74:49),(58:r:75:44),(58:r:75:45),(58:r:75:46),(58:r:75:47),(58:r:75:48),(58:r:75:49),(58:r:75:50),(58:r:75:51),(58:r:75:52),(58:r:75:53),(58:r:75:54),(58:r:75:55),(58:r:76:42),(58:r:76:43),(58:r:76:44),(58:r:76:45),(58:r:76:46),(58:r:76:47),(58:r:76:48),(58:r:76:49),(58:r:76:50),(58:r:76:51),(58:r:76:52),(58:r:76:53),(58:r:76:54),(58:r:76:55),(58:r:76:56),(58:r:77:41),(58:r:77:42),(58:r:77:43),(58:r:77:44),(58:r:77:45),(58:r:77:46),(58:r:77:47),(58:r:77:48),(58:r:77:49),(58:r:77:50),(58:r:77:51),(58:r:77:52),(58:r:77:53),(58:r:77:54),(58:r:77:55),(58:r:77:56),(58:r:77:57),(58:r:78:42),(58:r:78:43),(58:r:78:44),(58:r:78:45),(58:r:78:46),(58:r:78:47),(58:r:78:48),(58:r:78:49),(58:r:78:50),(58:r:78:51),(58:r:78:52),(58:r:78:53),(58:r:78:54),(58:r:78:55),(58:r:78:56),(58:r:78:57),(58:r:78:58),(58:r:79:43),(58:r:79:44),(58:r:79:45),(58:r:79:46),(58:r:79:47),(58:r:79:48),(58:r:79:49),(58:r:79:50),(58:r:79:51),(58:r:79:52),(58:r:79:53),(58:r:79:54),(58:r:79:55),(58:r:79:56),(58:r:79:57),(58:r:79:58),(58:r:79:59),(58:r:80:44),(58:r:80:45),(58:r:80:46),(58:r:80:47),(58:r:80:48),(58:r:80:49),(58:r:80:50),(58:r:80:51),(58:r:80:52),(58:r:80:53),(58:r:80:54),(58:r:80:55),(58:r:80:56),(58:r:80:57),(58:r:80:58),(58:r:80:59),(58:r:81:45),(58:r:81:46),(58:r:81:47),(58:r:81:48),(58:r:81:49),(58:r:81:50),(58:r:81:51),(58:r:81:52),(58:r:81:53),(58:r:81:54),(58:r:81:55),(58:r:81:56),(58:r:81:57),(58:r:81:58),(58:r:81:59),(58:r:81:60),(58:r:82:46),(58:r:82:47),(58:r:82:48),(58:r:82:49),(58:r:82:50),(58:r:82:51),(58:r:82:52),(58:r:82:53),(58:r:82:54),(58:r:82:55),(58:r:82:56),(58:r:82:57),(58:r:82:58),(58:r:82:59),(58:r:82:60),(58:r:83:48),(58:r:83:49),(58:r:83:50),(58:r:83:51),(58:r:83:52),(58:r:83:53),(58:r:83:54),(58:r:83:55),(58:r:83:56),(58:r:83:57),(58:r:83:58),(58:r:83:59),(58:r:83:60),(58:r:84:51),(58:r:84:52),(58:r:84:53),(58:r:84:54),(58:r:84:55),(58:r:84:56),(58:r:84:57),(58:r:84:58),(58:r:84:59),(58:r:84:60),(58:r:85:58),(58:r:85:59),(58:r:85:60)
ACBc,,,,,,,,9.07E-05,0.003356009,0.060498866,0.247346939,0.304852608,0.187120181,0.178412698,0.070839002,,,,,,,,,0.000816327,0.045260771,0.372970522,0.641632653,0.52399093,0.358004535,0.256235828,,,,,,,,,,,0.001360544,0.027936508,0.234829932,0.296780045,0.361814059,0.327437642,0.186666667,,,9.07E-05,,9.07E-05,,,,,,,0.017052154,0.02185941,0.050793651,0.144943311,0.352562358,0.010975057,,,9.07E-05,,,,,,,,,,9.07E-05,0.023945578,0.136507937,0.092698413,0.008253968,,,,,,,,,,,,,0.004716553,0.026848073,0.026938776,0.024761905,,,,,,,,,,,,,,9.07E-05,0.002721088,0.000272109,,,,,,9.07E-05,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dm.dl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026848073,0.026031746,0.002358277,,,,,,,,,,,,0.033469388,0.137324263,0.120181406,0.183945578,0.048163265,0.049433107,,,,,,,,,0.064126984,0.072834467,0.174240363,0.184217687,0.268752834,0.335238095,0.504489796,0.288344671,0.078548753,,,,,,,,0.000181406,0.020952381,,0.035102041,0.051337868,0.056054422,0.060226757,0.142312925,0.053786848,,,,,,,,,,,,,,,0.00952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dm.dm,,0.000181406,,0.029931973,0.216145125,0.409433107,0.3138322,0.110294785,0.005623583,0.003265306,,,,,,0.103219955,0.299138322,0.33414966,0.504036281,0.530702948,0.438367347,0.328435374,0.056054422,0.011247166,,,,,,,0.018231293,0.252063492,0.350566893,0.651972789,0.517278912,0.459863946,0.369160998,0.177505669,0.070839002,0.021133787,0.003900227,,,,,,,0.000181406,0.21414966,0.137959184,0.193015873,0.055147392,0.010884354,0.010249433,,,,,,,,,,,0.013151927,0.009070295,0.000634921,0.008072562,0.003174603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dm.im,,0.004807256,0.000907029,0.0030839,0.16,0.390294785,0.417596372,0.742403628,0.793650794,0.576235828,0.205623583,0.06984127,0.003537415,,,0.051247166,0.185487528,0.381315193,0.160634921,0.079818594,0.197823129,0.257142857,0.31446712,0.377959184,0.21569161,0.050884354,0.004988662,,,,0.001995465,0.234557823,0.233650794,0.227482993,0.283446712,0.035102041,0.016961451,0.008526077,0.014693878,0.049433107,0.068208617,0.002811791,,,,,,0.007528345,0.00952381,0.028208617,0.021768707,0.007346939,,0.000634921,,,,,,,,,,,,,,0.012789116,,,,,,,,,,,,,,0.001814059,0.008072562,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.vl.cvl,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,9.07E-05,,,,,,,,0.000453515,,,9.07E-05,,,,,0.00462585,0.014512472,0.009160998,0.002086168,,,,,0.002630385,,,,,,,,0.004807256,0.165260771,0.175873016,0.043537415,0.036281179,0.003809524,,,,,,,,,,,0.018866213,0.304943311,0.261315193,0.111473923,0.048253968,0.001088435,0.000362812,,,,,9.07E-05,,0.000272109,,,0.00154195,0.07292517,0.066848073,0.011972789,0.001360544,0.000181406,,,,,,,,,,,0.000181406,,,,,,,,,,,0.000362812,,,,,,9.07E-05,,,,,,,
CPi.vl.imv.r,,,,,9.07E-05,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004172336,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,0.000453515,0.000725624,0.015238095,0.002086168,0.002176871,,,,,,,,,,,,0.006712018,,9.07E-05,0.010793651,,0.01170068,,,,,,,9.07E-05,0.004353741,,0.000634921,0.017687075,0.030566893,0.092244898,0.134603175,0.131337868,0.048798186,0.117278912,0.130430839,0.023673469,0.021496599,0.00553288,0.004263039,0.001814059,,,0.002358277,0.082539683,0.354013605,0.641995465,0.680362812,0.479365079,0.567619048,0.362267574,0.116553288,0.124535147,0.076825397,0.026213152,0.00861678,,,0.018049887,0.144761905,0.131428571,0.177959184,0.278276644,0.250249433,0.238911565,0.145034014,0.053877551,0.008526077,0.00244898,,,,0.008072562,0.064126984,0.068662132,0.017142857,0.002176871,0.001814059,,,,,,
CPi.vl.v.r,,,,,,,9.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,0.008526077,,,,,,,,,,,,,,,,0.000725624,0.016961451,,,,,,,,,,,,,,,0.016870748,0.026575964,0.026666667,0.048707483,0.001814059,,,,,,,0.019863946,0.003809524,,,0.001632653,0.003718821,0.039274376,0.014875283,0.14739229,0.080907029,0.003174603,,,0.001632653,0.000181406,0.002086168,0.001088435,0.001995465,0.003537415,0.002539683,0.041179138,0.053786848,0.073106576,0.106031746,0.167437642,0.039909297,0.004353741,,,0.002267574,0.005351474,0.125623583,0.198911565,0.124172336,0.182494331,0.16399093,0.209251701,0.341043084,0.456689342,0.454875283,0.16861678,0.018321995,0.000272109,0.000272109,0.126258503,0.212517007,0.263129252,0.477460317,0.549115646,0.592380952,0.758548753,0.835192744,0.68,0.21015873,0.040090703,0.007528345,0.042086168,0.14521542,0.236190476,0.286439909,0.29968254,0.203265306,0.178231293,0.168344671,0.067664399,,,0.011156463,
CPi.vl.vt(m/o),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00154195,,,,0.000997732,,0.000453515,,,,0.002539683,,,,0.000816327,,,0.055600907,0.010793651,0.001632653,0.005170068,0.008526077,0.001904762,0.005714286,,,,,,,0.000362812,,,0.012063492,0.016961451,0.046984127,0.25015873,0.349931973,0.12,0.039546485,0.029115646,0.000181406,,,,,,,,,0.004263039,0.071655329,0.365714286,0.768163265,0.680272109,0.349115646,0.044988662,0.000725624,,,,0.000181406,,0.007528345,,,0.056870748,0.315464853,0.45723356,0.839727891,0.814058957,0.346575964,0.05015873,,,,0.000725624,0.017505669,0.083900227,0.20244898,0.344852608,0.352653061,0.137052154,0.047346939,0.412698413,0.75292517,0.524353741,0.109297052,0.011972789,,0.008344671,0.029115646,0.406077098,0.820770975,0.812698413,0.852335601,0.724716553,0.765714286,0.735419501,0.259954649,0.140952381,0.00707483,0.021496599,0.043900227,0.303038549,0.383401361,0.455328798,0.397460317,0.338684807,0.141133787,0.03446712,0.003809524,,,
CPi.vm.cvm,,,,,,,,,,,,0.005804989,0.009886621,0.0030839,0.000181406,0.000362812,,,,,,,,,0.006984127,0.076190476,0.083900227,0.074013605,0.005895692,,0.019773243,0.104126984,0.005714286,0.000272109,,,,,,,,0.017142857,0.04553288,0.222947846,0.044172336,,,0.141043084,0.400634921,0.283174603,0.039546485,0.007528345,0.001088435,,,,,0.011972789,0.027755102,0.019229025,0.007528345,0.003265306,,,0.237460317,0.62031746,0.405442177,0.099047619,0.097959184,0.021768707,0.007437642,0.001179138,,,,,,0.006439909,,,,0.144761905,0.300498866,0.150204082,0.088344671,0.086893424,,0.006439909,0.030748299,0.002993197,,,,,,,,0.008526077,0.002630385,,0.011156463,0.000272109,0.002267574,0.000181406,,,,,,,,,,,0.000272109,0.010612245,0.005442177,,,,,,,,,0.003265306,0.005804989,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.vm.v,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,0.005804989,0.04244898,,,,,,,,,,,,,,,,,,0.058956916,0.014512472,0.003446712,,,,,,,,,,,,,0.021315193,0.017142857,0.047709751,0.021315193,0.024761905,,,,,,,,,,,,9.07E-05,0.014331066,0.043174603,0.046077098,0.051609977,0.041088435,,,,,,,,,,,,0.006893424,0.06585034,0.076190476,0.025487528,0.014331066,0.012063492,,,,,,,,,,0.01260771,0.003809524,0.016145125,0.007437642,0.01260771,0.021678005,,,,,,,,0.005260771,0.003174603,,,0.00154195,0.005260771,0.011337868,0.022494331,,,,,,0.03446712,0.045079365,0.045804989,0.005895692,0.003265306,,0.005895692,0.006984127,0.002539683,,,,0.004444444,,0.000544218,0.004444444,,0.001632653,0.001088435,,0.008163265,
CPi.vm.vm,0.000272109,0.006712018,0.001269841,,0.006621315,0.049342404,0.142675737,0.261950113,0.300589569,0.19138322,0.253605442,0.251428571,0.082630385,0.038367347,0.008526077,0.001269841,0.000816327,0.02276644,0.022675737,0.038639456,0.074285714,0.193650794,0.262131519,0.475918367,0.616961451,0.838276644,0.82031746,0.747210884,0.425487528,0.173968254,,0.016054422,0.013151927,0.013424036,0.010793651,0.013061224,0.02893424,0.061768707,0.086349206,0.130702948,0.367437642,0.34521542,0.655873016,0.750566893,0.555918367,0.328253968,0.06829932,,0.018684807,0.012517007,0.019591837,0.033650794,0.004263039,0.017596372,0.030294785,0.020226757,0.009886621,0.046077098,0.067845805,0.104943311,0.160725624,0.138321995,0.139773243,0.004081633,0.001451247,0.005260771,0.002539683,,,0.000725624,,0.005079365,0.01414966,0.00244898,0.001451247,0.003265306,0.005804989,0.031201814,0.046802721,0.020226757,,,,,,,9.07E-05,9.07E-05,0.002086168,0.000544218,0.000181406,0.000816327,0.000272109,0.007346939,0.010249433,0.012426304,0.001632653,,,,9.07E-05,0.000907029,0.002811791,9.07E-05,,0.000362812,,0.000362812,9.07E-05,0.000997732,0.005895692,0.000362812,,,,,,,,,0.000181406,0.001360544,9.07E-05,0.000181406,9.07E-05,0.000816327,0.001179138,9.07E-05,,,,,,0.000725624,0.00154195,,,,0.000634921,0.000816327,0.001995465,,,0.000362812,,,,,,,,,,
