,(87:r:71:64),(87:r:71:65),(87:r:71:66),(87:r:72:64),(87:r:72:65),(87:r:72:66),(87:r:73:64),(87:r:73:65),(87:r:73:66),(87:r:74:63),(87:r:74:64),(87:r:74:65),(87:r:74:66),(87:r:74:67),(87:r:75:63),(87:r:75:64),(87:r:75:65),(87:r:75:66),(87:r:75:67),(87:r:76:62),(87:r:76:63),(87:r:76:64),(87:r:76:65),(87:r:76:66),(87:r:76:67),(87:r:77:61),(87:r:77:62),(87:r:77:63),(87:r:77:64),(87:r:77:65),(87:r:77:66),(87:r:77:67),(87:r:78:61),(87:r:78:62),(87:r:78:63),(87:r:78:64),(87:r:78:65),(87:r:78:66),(87:r:78:67),(87:r:78:68),(87:r:79:60),(87:r:79:61),(87:r:79:62),(87:r:79:63),(87:r:79:64),(87:r:79:65),(87:r:79:66),(87:r:79:67),(87:r:79:68),(87:r:80:59),(87:r:80:60),(87:r:80:61),(87:r:80:62),(87:r:80:63),(87:r:80:64),(87:r:80:65),(87:r:80:66),(87:r:80:67),(87:r:81:59),(87:r:81:60),(87:r:81:61),(87:r:81:62),(87:r:81:63),(87:r:81:64),(87:r:81:65),(87:r:81:66),(87:r:81:67),(87:r:82:58),(87:r:82:59),(87:r:82:60),(87:r:82:61),(87:r:82:62),(87:r:82:63),(87:r:82:64),(87:r:82:65),(87:r:82:66),(87:r:83:57),(87:r:83:58),(87:r:83:59),(87:r:83:60),(87:r:83:61),(87:r:83:62),(87:r:83:63),(87:r:83:64),(87:r:83:65),(87:r:84:55),(87:r:84:56),(87:r:84:57),(87:r:84:58),(87:r:84:59),(87:r:84:60),(87:r:84:61),(87:r:84:62),(87:r:84:63),(87:r:84:64),(87:r:85:55),(87:r:85:56),(87:r:85:57),(87:r:85:58),(87:r:85:59),(87:r:85:60),(87:r:85:61),(87:r:85:62),(87:r:85:63),(87:r:86:54),(87:r:86:55),(87:r:86:56),(87:r:86:57),(87:r:86:58),(87:r:86:59),(87:r:86:60),(87:r:86:61),(87:r:86:62),(87:r:87:54),(87:r:87:55),(87:r:87:56),(87:r:87:57),(87:r:87:58),(87:r:87:59),(87:r:87:60),(87:r:88:53),(87:r:88:54),(87:r:88:55),(87:r:88:56),(87:r:88:57),(87:r:88:58),(87:r:89:53),(87:r:89:54),(87:r:89:55)
CPc.i.vl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037006803,0.05877551,0.049977324,,,,,,,,0.070657596,0.142857143,0.059954649,0.032380952,0.009886621,0.000634921,0.007891156,,0.016145125,0.048526077,0.17414966,0.164353741,0.315011338,0.069478458,0.000453515,0.000544218,,,0.031201814,0.08244898,0.146031746,0.189478458,0.324172336,0.134058957,0.026938776,,,,0.029569161,0.069387755,0.282811791,0.476553288,0.455873016,0.201088435,,,,,0.016235828,0.091337868,0.11600907,0.566439909,0.565442177,0.150294785,,0.013061224,0.031473923,0.048707483,0.064399093,0.298321995,0.704580499,0.608888889,0.038548753,,,0.022131519,0.16462585,0.327346939,0.460680272,0.453696145,0.189387755,0.003356009,,,,,,,,,,0.002358277,,,,,,
CPc.i.vm,,,,,,,,,0.000816327,,,,,,,0.000544218,,,,,0.000907029,,,,,,0.066485261,0.109115646,0.007528345,0.000362812,0.005623583,,0.014693878,0.073469388,0.062222222,0.020952381,0.004716553,,,,,0.098503401,0.202267574,0.117006803,0.009433107,,0.000544218,9.07E-05,,0.003900227,0.128888889,0.144126984,0.153650794,0.058049887,0.00244898,,0.000362812,,0.071746032,0.10739229,0.205714286,0.104126984,0.039727891,0.011337868,0.014603175,0.022675737,,0.009160998,0.10122449,0.070385488,0.134875283,0.077097506,0.018594104,0.064126984,0.020498866,0.001088435,,0.010068027,0.016961451,0.078367347,0.039818594,0.052063492,0.087891156,0.152471655,0.020861678,,0.002902494,0.007891156,0.004172336,0.025487528,0.092879819,0.068571429,0.193287982,0.349206349,0.041360544,0.003356009,0.032108844,0.014240363,0.045804989,0.183401361,0.197006803,0.309387755,0.403718821,0.138049887,0.001814059,0.16707483,0.219138322,0.458594104,0.55845805,0.578866213,0.546213152,0.281451247,0.075918367,0.039546485,0.161451247,0.150839002,0.203628118,0.189478458,0.073197279,0.030294785,,0.004897959,0.042086168,0.016235828,0.013424036,,,,0.000272109
CPc.v.vl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002267574,,,,,,,,,0.042358277,0.003265306,0.001088435,0.063854875,,,,,0.104671202,0.140408163,0.174965986,0.077097506,0.010975057,0.032108844,,,,,0.175510204,0.208526077,0.182857143,0.147210884,0.037006803,0.000907029,0.01170068,,,0.023038549,0.081904762,0.143673469,0.03446712,0.024671202,0.015873016,,,0.002630385,0.105124717,0.035736961,0.155011338,0.232290249,0.055419501,0.0030839,0.018049887,,,0.235827664,0.594376417,0.617868481,0.493786848,0.207256236,0.083809524,0.046893424,0.003446712,,0.016507937,0.349569161,0.557913832,0.586122449,0.390929705,0.126893424,0.050975057,,,0.006984127,0.053696145,0.076099773,0.051156463,0.003718821,,,,,0.006077098,0.013968254,0.014965986,,,,
CPc.v.vm,,,,,,,,,,,,,,,,,,9.07E-05,,,0.018231293,0.00952381,,9.07E-05,,,,0.0030839,0.00399093,,,,0.072380952,0.011247166,0.001904762,,,,,,0.08861678,0.221315193,0.049886621,,,,,,,0.032834467,0.487256236,0.310294785,0.048072562,,,,,,0.27446712,0.325623583,0.087437642,0.01106576,,,,,,0.027301587,0.190294785,0.02276644,0.016961451,0.003446712,,,,,0.000362812,0.015963719,0.022675737,0.018684807,0.002267574,9.07E-05,,,,0.001814059,0.019501134,0.012244898,0.018503401,0.014693878,0.003900227,0.002539683,0.003174603,,,0.033650794,0.063854875,0.010612245,0.007800454,0.001814059,,0.005804989,,,0.001632653,0.020589569,0.030294785,0.025306122,0.010884354,,,,,0.000453515,0.011609977,0.0030839,0.002086168,0.001451247,,,,0.001451247,0.000453515,0.002811791,,,,,
CPi.dl.d(tr),,,,,,,0.000272109,0.000362812,0.001088435,,0.000907029,0.000725624,0.004263039,,0.000453515,,0.000272109,0.021587302,0.019229025,,,9.07E-05,0.000997732,0.027301587,0.072290249,,,0.001995465,0.016780045,0.118911565,0.165623583,0.055782313,0.000181406,0.000272109,0.005351474,0.100770975,0.548027211,0.798639456,0.305668934,,,0.000453515,0.001269841,0.000816327,0.046712018,0.475102041,0.744671202,0.224217687,,9.07E-05,9.07E-05,,0.001995465,0.007528345,0.02031746,0.454875283,0.719183673,0.110566893,0.000272109,0.000634921,0.003718821,0.001451247,0.004353741,0.022040816,0.405260771,0.762811791,0.065396825,,0.001179138,0.001269841,0.000453515,0.004988662,0.007619048,0.124263039,0.353469388,0.212970522,,0.001088435,0.003265306,0.005442177,0.00154195,0.009614512,0.050884354,0.114557823,0.078730159,,0.000634921,0.002811791,0.001269841,0.000997732,0.003537415,0.01414966,0.023582766,0.101587302,0.044444444,0.000181406,0.002630385,0.000272109,,0.002176871,0.001995465,0.01260771,0.02739229,0.00154195,0.000181406,0.001179138,0.002176871,0.000272109,,0.000272109,0.007891156,0.004353741,0.000725624,9.07E-05,0.000634921,0.000181406,9.07E-05,,,,,9.07E-05,,,,,,,
CPi.dl.imd(ll),,,0.000181406,,0.000181406,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000544218,,,,,0.065396825,0.035464853,,,,,,0.003356009,0.004897959,0.044081633,0.102947846,0.001814059,,,,,,0.009251701,0.113922902,0.336598639,0.224126984,0.008707483,,,,0.012517007,0.041088435,0.151927438,0.303310658,0.093061224,0.003446712,,,,0.011609977,0.025396825,0.068027211,0.218594104,0.160090703,0.009886621,,,,0.014693878,0.071292517,0.121723356,0.113741497,0.073106576,0.007891156,,,,,0.001088435,0.010068027,0.044263039,0.114013605,0.032834467,0.020408163,,,,,0.0030839,,0.011156463,0.008072562,0.001179138,0.000272109,,,,,,,,,0.001632653,,,,,,,0.000272109,0.007165533,,,,,0.000362812,0.000272109,
CPi.dm.cd,,,,0.000997732,9.07E-05,,0.023038549,0.00154195,0.029297052,,0.002358277,,0.000997732,,,9.07E-05,0.007528345,0.01260771,0.014058957,0.000544218,0.003718821,0.016598639,0.107482993,,0.000362812,0.029659864,0.004897959,0.000181406,0.241632653,0.108208617,0.000816327,0.007981859,0.052063492,,0.098594104,0.720362812,0.092789116,0.040725624,0.001088435,,,,0.001269841,0.152199546,0.302040816,0.017142857,,0.004172336,,,,,0.016689342,0.016417234,0.028027211,0.02122449,0.002630385,0.005714286,,,,0.005170068,0.008163265,0.017596372,0.046802721,0.017868481,,,,,,,0.015963719,0.027301587,0.141587302,0.045804989,,,,,,0.006258503,0.043356009,0.122721088,0.016235828,,,,,,,0.010430839,0.063945578,0.136870748,0.017052154,,,,,,,0.082811791,0.107755102,0.078276644,,,,,0.016326531,0.117641723,0.157369615,0.06521542,0.008435374,,,,0.014965986,0.033741497,0.139954649,0.086530612,,,,,,,,,
CPi.dm.d,,,,,0.020861678,0.039546485,0.159274376,0.384761905,0.322811791,,0.390657596,0.496780045,0.327619048,0.002993197,0.005170068,0.218503401,0.624761905,0.597097506,0.175056689,,,0.063310658,0.721269841,0.61814059,0.022494331,,,,0.000997732,0.213968254,0.692426304,0.327619048,,,,,0.003537415,0.10739229,0.292517007,0.001723356,,,,,,0.002539683,0.026938776,0.108117914,0.003446712,,0.004081633,,,,0.001088435,0.008253968,0.01324263,0.121632653,,,,,,,0.002086168,0.063129252,0.005986395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000181406,,,,,,,,,,,,,,,,,0.002086168,,,,,,,,,
CPi.dm.dl,,,,0.000907029,0.001269841,,,,,,,0.002902494,0.022040816,,,0.010975057,0.014965986,0.032562358,0.010793651,,,0.002358277,0.068662132,0.290430839,0.048526077,,,,,0.160272109,0.432653061,0.337596372,,9.07E-05,,0.000181406,0.062312925,0.54031746,0.40244898,,,,,,,0.016417234,0.295510204,0.434920635,,,,,,,,0.005895692,0.24553288,0.207165533,,,,,,,0.006530612,0.141950113,0.022040816,,,,,,,,0.013786848,0.018594104,,,,,,,,,0.003356009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,9.07E-05,
CPi.dm.dm,,0.009342404,0.077188209,0.002086168,0.166621315,0.331156463,0.066666667,0.393650794,0.523446712,,0.142857143,0.693514739,0.670022676,0.014331066,0.015419501,0.052244898,0.544126984,0.510929705,0.132244898,,,0.022222222,0.158639456,0.276099773,0.259410431,,,,,0.05877551,0.135600907,0.282630385,,,,,0.04952381,0.050612245,0.086349206,,,,,,,0.022040816,0.053696145,0.064671202,,,,,,,,0.013424036,0.007709751,0.00707483,,,,,0.006258503,,,0.008979592,,,,,,,0.007528345,,0.003174603,0.004535147,,,,,,0.002993197,,,0.005714286,,,,,,,,,0.011519274,0.001179138,,,,,,,,,0.010884354,,,,,,0.042993197,0.01106576,,,,,0.000816327,0.10984127,0.188571429,0.033741497,0.000634921,,,0.006530612,0.044897959,0.042993197,0.012063492,,,
CPi.dm.im,,,0.014331066,0.016961451,0.143582766,0.164897959,0.027301587,0.37324263,0.336054422,9.07E-05,0.08952381,0.560090703,0.535238095,0.002086168,0.063492063,0.203265306,0.300498866,0.478820862,0.014603175,,0.134875283,0.187029478,0.238095238,0.196462585,0.157097506,,,0.089795918,0.09877551,0.082539683,0.082176871,0.113106576,,0.015782313,0.030748299,0.091882086,0.083809524,0.035555556,0.014693878,,,,,,0.026938776,0.036553288,0.053333333,0.003900227,,,,,,,0.019591837,0.013696145,0.015419501,0.003265306,,,,,,,,,,,,,,,,,0.00861678,0.018866213,,,,,,,,,,,,,,,0.001088435,,,,,,,,0.000816327,,,0.033741497,0.026666667,,,,,,,0.013696145,0.22829932,0.172063492,0.016689342,,,0.009614512,0.029115646,0.07138322,0.125804989,0.013514739,,,0.000997732,,,,,,
