,(85:r:71:69),(85:r:71:70),(85:r:72:68),(85:r:72:69),(85:r:72:70),(85:r:73:66),(85:r:73:67),(85:r:73:68),(85:r:73:69),(85:r:73:70),(85:r:73:71),(85:r:74:65),(85:r:74:66),(85:r:74:67),(85:r:74:68),(85:r:74:69),(85:r:74:70),(85:r:74:71),(85:r:75:64),(85:r:75:65),(85:r:75:66),(85:r:75:67),(85:r:75:68),(85:r:75:69),(85:r:75:70),(85:r:75:71),(85:r:76:63),(85:r:76:64),(85:r:76:65),(85:r:76:66),(85:r:76:67),(85:r:76:68),(85:r:76:69),(85:r:76:70),(85:r:76:71),(85:r:77:62),(85:r:77:63),(85:r:77:64),(85:r:77:65),(85:r:77:66),(85:r:77:67),(85:r:77:68),(85:r:77:69),(85:r:77:70),(85:r:77:71),(85:r:78:62),(85:r:78:63),(85:r:78:64),(85:r:78:65),(85:r:78:66),(85:r:78:67),(85:r:78:68),(85:r:78:69),(85:r:78:70),(85:r:78:71),(85:r:79:61),(85:r:79:62),(85:r:79:63),(85:r:79:64),(85:r:79:65),(85:r:79:66),(85:r:79:67),(85:r:79:68),(85:r:79:69),(85:r:79:70),(85:r:79:71),(85:r:80:60),(85:r:80:61),(85:r:80:62),(85:r:80:63),(85:r:80:64),(85:r:80:65),(85:r:80:66),(85:r:80:67),(85:r:80:68),(85:r:80:69),(85:r:80:70),(85:r:80:71),(85:r:81:59),(85:r:81:60),(85:r:81:61),(85:r:81:62),(85:r:81:63),(85:r:81:64),(85:r:81:65),(85:r:81:66),(85:r:81:67),(85:r:81:68),(85:r:81:69),(85:r:81:70),(85:r:82:58),(85:r:82:59),(85:r:82:60),(85:r:82:61),(85:r:82:62),(85:r:82:63),(85:r:82:64),(85:r:82:65),(85:r:82:66),(85:r:82:67),(85:r:82:68),(85:r:82:69),(85:r:82:70),(85:r:83:58),(85:r:83:59),(85:r:83:60),(85:r:83:61),(85:r:83:62),(85:r:83:63),(85:r:83:64),(85:r:83:65),(85:r:83:66),(85:r:83:67),(85:r:83:68),(85:r:83:69),(85:r:84:57),(85:r:84:58),(85:r:84:59),(85:r:84:60),(85:r:84:61),(85:r:84:62),(85:r:84:63),(85:r:84:64),(85:r:84:65),(85:r:84:66),(85:r:84:67),(85:r:84:68),(85:r:84:69),(85:r:85:56),(85:r:85:57),(85:r:85:58),(85:r:85:59),(85:r:85:60),(85:r:85:61),(85:r:85:62),(85:r:85:63),(85:r:85:64),(85:r:85:65),(85:r:85:66),(85:r:85:67),(85:r:85:68),(85:r:86:56),(85:r:86:57),(85:r:86:58),(85:r:86:59),(85:r:86:60),(85:r:86:61),(85:r:86:62),(85:r:86:63),(85:r:86:64),(85:r:86:65),(85:r:86:66),(85:r:86:67),(85:r:87:56),(85:r:87:57),(85:r:87:58),(85:r:87:59),(85:r:87:60),(85:r:87:61),(85:r:87:62),(85:r:87:63),(85:r:87:64),(85:r:87:65),(85:r:88:57),(85:r:88:58),(85:r:88:59),(85:r:88:60),(85:r:88:61),(85:r:88:62),(85:r:88:63),(85:r:88:64),(85:r:89:58),(85:r:89:59),(85:r:89:60),(85:r:89:61),(85:r:89:62)
CPc.i.vl,,,,,,,,,,,,,0.000544218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001632653,0.002539683,,,,,9.07E-05,,,0.001995465,0.096598639,0.11292517,0.035283447,0.012335601,,,,0.001451247,0.006621315,0.073922902,0.021768707,0.090068027,0.037732426,0.15292517,0.191473923,0.060045351,0.004807256,0.001814059,,,0.000272109,0.007165533,0.198911565,0.271292517,0.239092971,0.334603175,0.339229025,0.413424036,0.442086168,0.075283447,,,0.017324263,0.029024943,0.001451247,0.172789116,0.441360544,0.535238095,0.569705215,0.416780045,0.527437642,0.167981859,0.043718821,,0.00861678,0.032380952,0.014603175,0.044444444,0.299863946,0.695873016,0.777868481,0.535147392,0.30893424,0.161814059,0.017596372,0.002176871,,0.002176871,0.024580499,0.029931973,0.207891156,0.670385488,0.779138322,0.773605442,0.435102041,0.056235828,0.051519274,0.007891156,,,0.001179138,0.008888889,0.068117914,0.282086168,0.706213152,0.870294785,0.77324263,0.291156463,0.14675737,0.045079365,,,,,0.068027211,0.380045351,0.518820862,0.618503401,0.457052154,0.222494331,0.089886621,0.037732426,0.008253968,,,0.001904762,0.030294785,0.128072562,0.165170068,0.124444444,0.0338322,0.033741497,,0.00861678,0.006712018,,,0.009977324,0.002358277,0.004807256,0.006712018,,,,0.004081633,0.009251701,
CPc.i.vm,,,,,,,,,0.000816327,,,9.07E-05,0.001904762,0.000453515,,,,,0.001995465,,0.000816327,,0.001360544,,0.000816327,,0.035555556,0.017777778,0.051519274,,0.015600907,9.07E-05,,,,0.005351474,0.119818594,0.050884354,0.056598639,0.019501134,0.007165533,0.005351474,9.07E-05,,0.000544218,0.040362812,0.117823129,0.191020408,0.248344671,0.219410431,0.052517007,0.025578231,,0.000907029,,0.013333333,0.135510204,0.313287982,0.243718821,0.29478458,0.13414966,0.098049887,0.081360544,9.07E-05,0.002902494,,,0.050612245,0.214421769,0.38739229,0.49170068,0.416689342,0.264943311,0.035918367,0.059501134,0.033560091,0.000272109,,,0.000544218,0.033560091,0.153650794,0.215419501,0.21170068,0.325623583,0.301043084,0.154376417,0.012970522,0.032653061,,,0.02430839,0.013424036,0.000634921,0.080907029,0.146303855,0.217414966,0.242267574,0.18829932,0.138321995,0.011882086,0.002630385,,0.010521542,0.002721088,0.006802721,0.002358277,0.090521542,0.26031746,0.258231293,0.160544218,0.08861678,0.035555556,0.048435374,0.016417234,0.003446712,0.005170068,0.039002268,0.007981859,0.027301587,0.196371882,0.304126984,0.31537415,0.174875283,0.048072562,0.044172336,,,0.000181406,0.013514739,0.016507937,0.035011338,0.034104308,0.118639456,0.246802721,0.31292517,0.160453515,0.097414966,0.038639456,0.022585034,,,0.049070295,0.039909297,0.147482993,0.242993197,0.331156463,0.294875283,0.108662132,0.042267574,0.112471655,0.000634921,,0.000181406,0.057596372,0.200544218,0.265578231,0.285079365,0.132154195,0.113106576,0.02185941,0.016145125,9.07E-05,0.010521542,0.027755102,0.081269841,0.082902494,0.02893424,0.007346939,0.000634921,9.07E-05,0.009433107,0.008163265,0.005442177,0.026848073,0.000181406
CPc.v.vl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000997732,,,,,,,,,,,,0.038911565,0.163718821,0.027664399,0.013333333,0.005351474,,,9.07E-05,,,,0.000362812,0.027120181,0.083446712,0.171882086,0.134603175,0.001904762,,0.010702948,0.007891156,,0.002358277,9.07E-05,,0.088888889,0.024852608,0.03755102,0.219773243,0.293151927,0.061043084,0.004172336,0.027845805,0.001723356,,,0.008979592,0.029478458,0.350566893,0.273197279,0.179591837,0.335056689,0.343401361,0.08154195,0.016145125,,,0.014058957,,,,0.18675737,0.501043084,0.640634921,0.573061224,0.506394558,0.410612245,0.062403628,0.02739229,0.007165533,,,,0.020498866,0.312018141,0.642267574,0.721269841,0.567981859,0.268027211,0.10893424,0.003900227,0.004988662,0.000997732,,,0.013333333,0.12553288,0.413968254,0.213424036,0.117369615,0.047891156,0.019138322,0.021587302,0.0061678,,0.003356009,0.045442177,0.02893424,0.009160998,,0.011972789,0.005895692,,,,,,
CPc.v.vm,,,,,9.07E-05,,,9.07E-05,,,,0.02276644,0.063854875,0.014240363,,,,,0.034920635,0.059047619,0.057505669,0.023038549,0.004897959,,,,0.026303855,0.123265306,0.146485261,0.082721088,0.014331066,0.004807256,,,,0.009160998,0.065306122,0.142675737,0.153922902,0.036825397,0.040544218,0.001360544,0.008435374,9.07E-05,9.07E-05,0.062947846,0.213968254,0.180680272,0.097414966,0.028027211,0.017687075,0.005623583,9.07E-05,,,0.025941043,0.173333333,0.227482993,0.139501134,0.095328798,0.019047619,0.011972789,0.003809524,,,,0.020861678,0.383673469,0.167800454,0.157732426,0.050702948,0.062585034,0.009433107,0.000634921,0.002902494,,,,0.00244898,0.282721088,0.322721088,0.200816327,0.055238095,0.022585034,0.019863946,0.004535147,,0.003900227,,,,0.160907029,0.113741497,0.089795918,0.056598639,0.030113379,0.002267574,0.011337868,,,,,,0.034195011,0.066938776,0.049433107,0.069569161,0.068390023,0.028480726,0.005351474,0.002358277,,9.07E-05,9.07E-05,,0.025578231,0.04861678,0.039365079,0.02276644,0.037097506,0.021496599,0.00399093,,0.000181406,,,,,0.004535147,0.041179138,0.034920635,0.013424036,0.006077098,0.007891156,0.008888889,0.003628118,,,,,,0.007437642,0.011337868,0.012970522,0.008072562,,0.004172336,0.003174603,0.002721088,,,,,0.000997732,0.005351474,0.013151927,0.001360544,,,,,,,,0.001179138,,,,,,,,,,,
CPi.dl.d(tr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004081633,0.016780045,0.010430839,,,,,,,0.022222222,0.045623583,0.066938776,0.025124717,,,,,,0.003628118,0.031746032,0.150839002,0.180680272,0.197460317,,,,,,,0.009433107,0.14430839,0.263673469,0.641904762,0.193560091,,,,,,0.014965986,0.013333333,0.051156463,0.254965986,0.417868481,0.651247166,0.027120181,,,,,9.07E-05,,0.009614512,0.075736961,0.088888889,0.351564626,0.506666667,0.35292517,,,,,,,0.011428571,0.034557823,0.081451247,0.185396825,0.33478458,0.28952381,0.046439909,,,,,,,0.019591837,0.066666667,0.135963719,0.192108844,0.162358277,0.061043084,,,,,,,,0.039546485,0.022403628,0.113469388,0.168435374,0.012244898,0.001451247,,,,,,,0.006984127,,0.041814059,0.092335601,0.091791383,0.010793651,,,,,,,,0.006712018,0.01015873,0.016598639,0.005260771,,,,,,,,,0.000634921,,,,,,,,0.005895692,0.004988662,,,,,,,
CPi.dm.cd,,,,,,,,,,,,,,,0.010521542,0.001451247,0.004081633,,,0.001088435,0.000272109,0.008707483,0.009795918,0.000453515,,,,,,0.005351474,0.045714286,0.024036281,0.066848073,,0.008526077,,,,0.008979592,0.050793651,0.374240363,0.375419501,0.047165533,,,0.000453515,0.020861678,0.065578231,0.146122449,0.284716553,0.774512472,0.486439909,0.093151927,0.005260771,0.006621315,,0.04553288,0.104943311,0.179410431,0.314648526,0.245623583,0.787210884,0.498684807,0.088072562,0.035918367,0.004172336,,,0.071020408,0.215328798,0.213424036,0.391927438,0.43537415,0.585941043,0.46031746,0.078548753,0.038548753,0.004353741,,,,0.01015873,0.080453515,0.094512472,0.319909297,0.456780045,0.554285714,0.188027211,0.070113379,0.014421769,,,,,0.006712018,0.067755102,0.07138322,0.30675737,0.444353741,0.298321995,0.155918367,0.03755102,,,,,,,0.015600907,0.140136054,0.239637188,0.277097506,0.152018141,0.059501134,0.006258503,,,,,0.000997732,,0.022675737,0.191564626,0.137687075,0.157913832,0.116643991,0.025306122,,,,,,,,0.007437642,0.044172336,0.074920635,0.164716553,0.24399093,0.02829932,,,,,,,0.000453515,0.013514739,0.022040816,0.074739229,0.140136054,0.054693878,,,,,,,0.007709751,0.016689342,0.026394558,0.070204082,0.016326531,,,,0.000453515,0.017052154,0.026666667,0.040362812,0.001632653,,,0.013877551,0.001814059,
CPi.dm.d,0.000272109,0.001360544,,0.035918367,0.045351474,,,,0.296235828,0.510385488,0.06893424,,,,,0.045170068,0.662312925,0.349569161,,,,,,0.094240363,0.293605442,0.570702948,,,,,,,0.071111111,0.461587302,0.613696145,,,,,,,,0.121904762,0.279092971,0.22521542,,,,,,0.00244898,0.005351474,0.047256236,0.132426304,0.081179138,,,,,,,,0.01723356,0.008072562,0.22185941,0.082993197,,,,,,,,0.012698413,0.016417234,0.019501134,0.125895692,0.0030839,,,,,,,,0.000634921,0.013605442,0.021950113,0.064036281,0.022222222,,,,,,,,,0.002539683,0.019501134,0.044897959,0.04553288,,,,,,,,,,,0.039092971,0.014603175,,,,,,,0.00244898,0.000634921,0.000816327,,0.000816327,0.005895692,0.001723356,,,,,,,,,,0.005623583,,0.016870748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.dm.dl,,,,,,,,,,,,,,,0.000181406,,,,,,,,,0.003809524,0.004716553,0.006712018,,,,,,0.001995465,0.043900227,0.164444444,0.064489796,,,,,,0.005079365,0.010340136,0.216054422,0.604897959,0.177777778,,,,,,,0.01260771,0.210430839,0.543582766,0.130975057,,,,,,,,0.022040816,0.108571429,0.246984127,0.023401361,,,,,,,,,0.02739229,0.065941043,0.066031746,0.000272109,,0.000453515,,,,,,,,0.000544218,0.033650794,0.01260771,,0.000634921,,,,,,,,,,,,0.007709751,,,,,,,,,,,,0.012154195,0.001179138,,,,,,,,,,,,0.000272109,0.047437642,0.012154195,,,,,,,,,,,0.008344671,0.013333333,0.000634921,,,,,,,,,,0.001179138,0.004081633,,,,,,,,,0.002630385,0.000544218,,,,,,,,0.000453515,,,
CPi.dm.dm,,,,0.033650794,0.003537415,,0.003356009,0.103945578,0.315918367,0.265487528,0.041995465,,,0.025306122,0.274013605,0.679274376,0.738956916,0.10739229,,,,0.020861678,0.351292517,0.742857143,0.387755102,0.048798186,,,,,0.04707483,0.393741497,0.681995465,0.485714286,0.051882086,,,,,,0.041088435,0.249886621,0.355736961,0.187210884,0.023129252,,,,,,0.007437642,0.071201814,0.151655329,0.288526077,0.067936508,,,,,,,,0.029024943,0.093424036,0.198730159,0.009795918,,,,,,,,,0.031836735,0.060136054,0.133877551,0.008072562,,,,,,,,,0.005895692,0.013333333,0.026666667,0.003356009,,,,,,,,,,0.005079365,0.002176871,0.019410431,,,,,,,,,,,0.003446712,0.009886621,,,,,,,,,,,,0.010340136,0.006984127,,,,,,,,,,,,0.020045351,0.009160998,,,,,,,,,,0.032108844,0.151111111,0.041904762,,,,,,,,,0.063945578,0.185759637,0.005623583,,,,,0.000997732,0.02984127,0.024761905,,,,0.002358277,,
CPi.dm.im,,,0.006802721,0.044988662,0.017052154,,0.005260771,0.047619048,0.2830839,0.181496599,0.004807256,,,9.07E-05,0.142585034,0.464852608,0.51537415,0.179047619,,0.000725624,,0.130521542,0.482902494,0.530702948,0.393287982,0.133061224,,,,0.010340136,0.058231293,0.534875283,0.450702948,0.338049887,0.226485261,,,,,0.019773243,0.05877551,0.288888889,0.15537415,0.104217687,0.111020408,,0.096689342,0.070929705,,,0.010249433,0.041814059,0.052879819,0.086621315,0.057142857,,,0.040907029,0.039002268,0.002539683,,0.02185941,0.049251701,0.0061678,0.05260771,0.020136054,,,,0.006802721,0.02984127,0.009251701,0.009342404,0.033469388,0.03537415,0.00399093,0.02276644,0.004716553,,,,,,0.14984127,0.076734694,0.059047619,0.035736961,0.003628118,0.034739229,,,,,,,,0.023129252,0.059954649,0.086349206,0.16952381,0.158185941,0.044444444,,,,,,,,,0.032380952,0.076281179,0.280907029,0.173424036,,,,,,,,,,0.126349206,0.224217687,0.454240363,0.013877551,,,,,,,,0.010521542,,0.028752834,0.160362812,0.445986395,0.103492063,,,,,,,,0.007891156,0.010340136,0.209886621,0.296780045,0.040362812,,,,,,0.000634921,0.032653061,0.007709751,0.040453515,0.074648526,0.051791383,,,,0.000453515,0.001360544,0.045351474,0.034648526,,,,,,
CPi.vl.cvl,,,,0.002176871,,,,,0.000725624,,,,0.001360544,,0.000634921,0.002086168,0.000997732,,0.000272109,0.000816327,,,0.007437642,0.002176871,0.000634921,,,0.000544218,9.07E-05,,,0.02031746,0.002993197,,,,0.000362812,0.000997732,0.00399093,0.040272109,0.003628118,0.000816327,9.07E-05,,,0.001723356,9.07E-05,0.003174603,0.045714286,0.003628118,0.042086168,0.036825397,0.03537415,0.019954649,,9.07E-05,0.017687075,0.030022676,0.034195011,0.069478458,0.081814059,0.159727891,0.12462585,0.009795918,0.005079365,,,0.00154195,0.0338322,0.038276644,0.196099773,0.175873016,0.140770975,0.201904762,0.18739229,0.128798186,0.018412698,,,,0.009433107,0.005079365,0.087437642,0.27600907,0.243809524,0.149024943,0.076643991,0.022040816,0.00553288,,,,0.00462585,0.005895692,0.015873016,0.322358277,0.565623583,0.29170068,0.107120181,0.016780045,9.07E-05,0.002630385,,,0.000362812,0.013151927,0.014331066,0.046439909,0.361723356,0.443628118,0.327619048,0.057505669,0.002902494,0.007346939,,,,,9.07E-05,0.007800454,0.009614512,0.248707483,0.366077098,0.056598639,0.001904762,0.000181406,0.001632653,,,0.001088435,,,0.005986395,0.000272109,0.06675737,0.180952381,0.076462585,0.010340136,0.000725624,,,,,,0.013968254,,0.007437642,0.120544218,0.096145125,0.017959184,,,,,,,,0.010521542,0.027210884,0.045442177,0.002267574,,,,0.00154195,0.001632653,0.005079365,0.001360544,,,,,,,,
CPi.vl.imv(ul),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007709751,0.002176871,,,,,,0.000181406,,0.009614512,0.001451247,0.000907029,,,,,,,,,0.011156463,,,0.006530612,,,,0.00154195,0.004535147,,,,,0.009433107,0.022312925,0.027301587,0.01723356,0.031473923,0.02739229,0.021133787,0.007800454,,0.005895692,0.022947846,0.018594104,0.018049887,0.036281179,0.051791383,0.017505669,0.032380952,0.029569161,0.017868481,,,0.000453515,0.083356009,0.07047619,0.084172336,0.05170068,0.025578231,0.038639456,0.078276644,0.040634921,0.042630385,,,,0.020498866,0.187210884,0.279909297,0.362811791,0.305306122,0.05814059,0.072108844,0.039274376,0.002630385,,,,,0.029659864,0.206984127,0.684081633,0.34739229,0.164081633,0.085986395,0.008798186,0.000362812,0.010249433,,,,,,0.006893424,0.101768707,0.279365079,0.240634921,0.048707483,0.014965986,0.004535147,,0.00154195,,,,,,,0.002176871,0.01723356,0.012970522,,0.003265306,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.vl.v(m/i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.07E-05,,,,,,,,,,,,,,,,0.000453515,0.000453515,,,9.07E-05,0.000725624,,,,0.002811791,,0.004716553,,0.003809524,0.003628118,0.003446712,0.000453515,0.000181406,,,,,0.006712018,0.002358277,0.003718821,0.022040816,0.002811791,0.001179138,,,,0.003628118,0.002086168,0.013514739,0.002993197,0.019773243,0.00861678,0.013696145,0.001723356,0.004353741,0.000634921,,,0.018684807,0.01968254,0.014693878,0.013514739,0.026303855,0.020226757,0.020770975,0.013877551,0.01015873,0.002086168,,,,0.036462585,0.262040816,0.253514739,0.119455782,0.030929705,0.040816327,0.004807256,0.00244898,9.07E-05,0.000997732,,,,0.04154195,0.290068027,0.694421769,0.228843537,0.021043084,0.020680272,0.001723356,0.000725624,,,,,,,0.030022676,0.176235828,0.115736961,0.056870748,0.005986395,0.006077098,0.001179138,,,,,,,0.004263039,0.027210884,0.011519274,0.010068027,0.002721088,0.001088435,,,,,,,,,0.001269841,0.000181406,9.07E-05,0.000181406,,,,,,,,,,,9.07E-05,,,
CPi.vl.vt(m/o),,,,,,,,0.001451247,0.000544218,,,,9.07E-05,0.002086168,,0.001088435,0.000907029,,,0.001269841,0.000362812,,0.000453515,9.07E-05,,0.000544218,,0.000997732,0.001360544,0.000362812,,0.000634921,0.000997732,0.004444444,,,0.00399093,0.001632653,0.001995465,9.07E-05,0.002358277,0.000544218,0.000272109,,,,0.00399093,0.012698413,0.017324263,0.008344671,0.001360544,,,,0.001814059,,0.00154195,0.026122449,0.016145125,0.017596372,0.010702948,0.000362812,9.07E-05,0.004716553,0.001360544,0.001360544,0.000362812,0.004897959,0.042630385,0.030022676,0.133424036,0.058321995,0.025034014,0.01170068,0.00244898,,,,0.003174603,0.25260771,0.117823129,0.155918367,0.09170068,0.199274376,0.064580499,0.017777778,0.00154195,,,0.000272109,,0.234829932,0.881269841,0.692970522,0.074829932,0.140770975,0.096235828,0.006802721,,0.001360544,0.000725624,,,0.000544218,0.399365079,0.75537415,0.863219955,0.251972789,0.016780045,0.010521542,0.004897959,0.002811791,0.000907029,0.000181406,,0.000725624,0.001723356,0.15446712,0.326893424,0.513106576,0.217596372,0.010975057,0.004081633,0.001088435,9.07E-05,,0.000997732,,,0.000181406,0.001814059,0.023310658,0.067301587,0.095328798,0.017414966,,,0.000725624,,,,0.000362812,9.07E-05,0.000816327,0.002539683,0.001269841,0.003356009,0.00154195,0.000362812,,,,,,,,0.000362812,0.000453515,0.000725624,0.000453515,0.000272109,,0.000453515,0.000362812,0.000362812,,,,,,,,,,,
CPi.vm.cvm,,,,,,,,,,,,,0.020045351,0.100226757,0.007619048,0.003446712,,,,0.003537415,0.022675737,0.230657596,0.136689342,,0.001269841,0.00154195,,0.000816327,0.018594104,0.097777778,0.466666667,0.31292517,,,,,0.040362812,0.014331066,0.01723356,0.277913832,0.642539683,0.393560091,,,0.001723356,0.000272109,0.096598639,0.174240363,0.267573696,0.584852608,0.788571429,0.349206349,,,,,0.006349206,0.429569161,0.477188209,0.531156463,0.690612245,0.736417234,0.193650794,,,0.000453515,,0.022585034,0.09324263,0.430748299,0.470839002,0.528888889,0.581678005,0.600816327,0.142312925,0.029569161,,,,,,0.010793651,0.224126984,0.263310658,0.539138322,0.698956916,0.42739229,0.070022676,0.000181406,,,,,0.000725624,,0.089705215,0.237913832,0.413968254,0.342947846,0.200544218,0.023038549,0.011337868,,,,0.009160998,0.001360544,0.004897959,0.10430839,0.311111111,0.289977324,0.225941043,0.142494331,0.012244898,0.01414966,,,,0.010612245,,0.000362812,0.193015873,0.3938322,0.256870748,0.121360544,0.01260771,0.012970522,,,,,,,,0.040816327,0.297414966,0.132517007,0.065034014,0.055782313,,,,,,,,,0.057777778,0.018231293,0.011428571,0.017777778,,,,,0.002176871,,,0.001269841,0.006530612,0.000453515,0.014058957,,,,,,,,,,,,,,
CPi.vm.v,,,,,,,,0.006077098,,,,0.001995465,0.023310658,0.001995465,,0.000816327,,,0.069115646,0.199183673,0.19755102,,,,,,0.051337868,0.196825397,0.458684807,0.486984127,0.014603175,,,,,0.029478458,0.258321995,0.468390023,0.476643991,0.363356009,0.023582766,0.000725624,,0.00244898,,0.170068027,0.45569161,0.511564626,0.452789116,0.197188209,0.031292517,,,,,0.085351474,0.319546485,0.576417234,0.413424036,0.17968254,0.106122449,0.027120181,0.004172336,,,,0.031020408,0.305396825,0.242811791,0.100136054,0.097777778,0.000453515,,,,,,,,0.039455782,0.068117914,0.013151927,,0.000544218,,0.000816327,,,,,,0.005079365,0.001269841,,,,,,,,,,,,,,,0.002267574,,,,,,,,,,0.000816327,,,0.000181406,,,,,0.000816327,,,,,,,,,,,,,,,,,,,,,0.000816327,,0.000816327,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPi.vm.vm,,,0.001632653,0.008163265,0.001632653,0.0061678,0.015238095,0.029931973,0.147301587,0.0769161,,0.010430839,0.046258503,0.070113379,0.200181406,0.158548753,0.031111111,0.033287982,0.007800454,0.034739229,0.049251701,0.141496599,0.248344671,0.129795918,0.005986395,0.006712018,0.048072562,0.047256236,0.019319728,0.152834467,0.198185941,0.130884354,0.018231293,0.001088435,0.001360544,0.080272109,0.274739229,0.031111111,0.039637188,0.123356009,0.123265306,0.023854875,0.023038549,,9.07E-05,0.432653061,0.367165533,0.049977324,0.075918367,0.040362812,0.020136054,0.004263039,,,,0.032834467,0.193015873,0.116190476,0.037913832,0.017687075,0.007256236,0.001904762,,0.000272109,,,,0.006349206,0.008979592,0.000816327,0.008888889,0.0030839,0.000816327,0.000272109,,,,,,,,,,,0.000272109,0.000181406,,,,,,,,,,,9.07E-05,0.000181406,,,,,,,,,,,,9.07E-05,0.000181406,,,,,,,,,,,,,,,,0.000181406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPr.imd,,,0.000997732,0.047346939,0.008163265,,,0.037823129,0.115283447,0.07138322,0.041088435,,,0.002993197,0.216326531,0.296145125,0.24707483,0.018049887,,,,0.018231293,0.231201814,0.410068027,0.49478458,0.180045351,,,,,0.000816327,0.104399093,0.532789116,0.778321995,0.130430839,,,,,,0.00707483,0.044444444,0.181405896,0.269297052,0.064761905,,,0.00244898,0.000816327,0.022222222,0.016417234,0.053514739,0.085170068,0.191655329,0.018594104,,,0.004444444,0.005260771,0.002721088,0.004807256,0.016507937,0.011337868,0.027482993,0.101133787,0.001814059,,,,,,0.001360544,0.006258503,0.006077098,0.010340136,0.006802721,0.048344671,,,,,,,0.005170068,0.006349206,0.000725624,,0.003537415,0.008979592,0.011428571,,,,0.006077098,,,,0.009977324,,,,0.005714286,,,,,,,,0.005351474,,,,,0.000544218,,,,,0.000816327,,,,,,0.012970522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPr.imv,,,0.000181406,0.002086168,0.000634921,9.07E-05,0.000362812,0.010430839,0.028480726,0.016689342,0.000362812,,0.000453515,0.000544218,0.109297052,0.183219955,0.070566893,0.003537415,0.002358277,0.002993197,0.000907029,0.017687075,0.262131519,0.412063492,0.037006803,0.009886621,0.000181406,0.001814059,0.003537415,0.00707483,0.092698413,0.49723356,0.470566893,0.045714286,0.001451247,9.07E-05,0.001904762,0.003356009,0.002267574,0.017052154,0.067845805,0.282811791,0.241451247,0.072653061,0.006984127,0.001179138,0.000907029,0.002630385,0.002539683,0.017505669,0.063945578,0.107210884,0.078185941,0.008072562,0.001814059,0.000907029,0.012698413,0.025306122,0.009433107,0.024580499,0.023219955,0.03446712,0.030748299,0.009705215,0.003537415,,,0.00244898,0.00861678,0.024761905,0.007891156,0.012426304,0.004353741,0.014331066,0.009977324,0.004081633,0.000362812,,,0.000272109,0.002358277,0.002539683,0.015963719,0.015056689,0.006258503,0.003174603,0.02276644,0.006802721,0.001269841,0.016417234,,0.000725624,0.003174603,0.001360544,0.000907029,0.003446712,0.00154195,0.003900227,0.006439909,0.017596372,0.003265306,0.000544218,,9.07E-05,0.003809524,0.006077098,0.001904762,0.000362812,0.000544218,0.000816327,0.00154195,0.013968254,0.007981859,0.008163265,,0.000453515,0.001451247,0.003265306,0.000816327,0.000453515,0.000362812,,,0.000907029,0.000907029,0.006349206,0.006439909,,,0.000907029,0.003809524,0.004353741,0.001632653,0.008526077,0.001814059,0.002811791,0.001723356,0.001904762,0.003537415,0.01170068,,,0.001995465,0.000272109,0.002993197,0.004897959,0.005079365,0.000725624,0.002267574,0.004081633,0.002539683,0.000634921,,0.000272109,0.000544218,0.000634921,0.003900227,0.004081633,0.006349206,0.00154195,0.003537415,,,,,0.000181406,0.000362812,0.001269841,0.000362812,,,0.000181406,,,,
CPr.l.ls,0.002086168,0.018412698,,0.009070295,0.021043084,,,0.012970522,0.032471655,0.10739229,,,,0.023129252,0.226031746,0.339410431,0.11537415,0.033650794,,,,,0.278730159,0.595918367,0.484535147,0.133786848,,,,,0.001995465,0.092970522,0.77569161,0.721814059,0.170884354,,,,,0.006077098,,0.11600907,0.605714286,0.614240363,0.078548753,,,,,0.006258503,0.012879819,0.047528345,0.411337868,0.292063492,0.009160998,,,,0.004353741,0.0061678,0.007981859,0.028390023,0.03845805,0.151473923,0.172335601,,,,,,0.007800454,0.007256236,0.019863946,0.031020408,0.028480726,0.097777778,0.162721088,,,,,,,0.003900227,0.004444444,0.009342404,0.020952381,0.003174603,0.038730159,0.021133787,,,,,,,,,0.00244898,0.003809524,0.003446712,0.001995465,,,,,,,,,,,0.000997732,0.002811791,,,,,,,,,,,0.003265306,0.008253968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
